Snow x,Snow y,Asphalt x,Asphalt y,Grass x,Grass y,Dirt x,Dirt y
9.99999999999997,-4.37073352364404,10.5707205789806,-16.9225518182947,9.04657016991828,-10.2854660543627,9.04657016991828,-13.286583095445
20,-5.75586446568202,10.5707205789806,-18.1922551818295,10.5707205789806,-11.574407347648,8.53852003356417,-14.6717140374829
40,-2.69703363534815,10.5707205789806,-19.4619585453643,13.6190213971052,-12.8825865706839,10.5707205789806,-15.8837036117662
50,1.92006950477845,10.5707205789806,-20.7316619088991,59.3435336689743,4.62392950229614,60.8676840780366,5.2972570435646
50,0.304083405734142,10.5707205789806,-22.0013652724339,65.4401353052235,5.00868809730669,124.882001258653,1.97871416159861
60,2.7280625543006,10.5707205789806,-23.2710686359687,127.930302076778,1.94985726697282,132.502753303965,3.93136403127715
70,3.30520044681643,9.80864537444944,-24.5840573414422,135.551054122089,3.62355715526871,141.647655758339,5.14335360556038
100,-1.08104753630384,14.3810966016363,-25.8681891522899,144.695956576463,4.64316743204666,150.792558212712,5.27801911381407
100,-2.58160605684498,13.6190213971052,-27.4264614620827,153.840859030837,4.72011915104877,156.889159848962,4.89326051880352
120,-3.15874394936081,12.856946192574,-28.8548777460593,159.937460667086,4.3161226262877,199.565371302706,-2.14782176988954
130,0.419510984237308,15.1431718061675,-29.590728559017,198.041220893644,-0.647263249348397,202.613672120831,-3.47523892267594
130,-1.08104753630384,20.3252831969793,-12.3516197095693,204.137822529893,-2.55181829465062,205.661972938955,-5.03351123246867
140,1.1120764552563,19.7156230333544,-14.0368623557155,209.726374029788,-4.80265607546233,208.71027375708,-6.99578006702247
150,2.26635224028795,19.7156230333544,-15.1141864217451,213.282724984267,-6.27435770137769,211.758574575205,-8.49633858756361
160,2.55492118654586,18.1914726242921,-16.5185552935336,216.331025802392,-8.10677051011543,212.774674847913,-10.4586074221174
170,2.55492118654586,18.1914726242921,-17.7882586570684,240.717432347388,-6.82263869926772,214.806875393329,-12.0168797319101
190,1.80464192627529,18.1914726242921,-19.0579620206032,248.3381843927,-4.54294402383021,227.000078665828,-12.6517314136776
200,0.996648876753131,18.1914726242921,-20.2122378056349,255.044446192574,-2.86347275660916,231.06447975666,-9.68909023209632
210,0.304083405734142,16.6673222152298,-21.1933722229118,263.579688483323,-1.14744942286211,234.620830711139,-7.34206280253196
220,-0.734764800794343,16.6673222152298,-22.4630755864466,272.724590937697,0.0645401514211219,237.669131529264,-5.78379049273924
230,-1.5427578503165,16.6673222152298,-23.7327789499814,281.86949339207,1.00719870919697,242.241582756451,-3.99466302594018
260,-3.33188531711555,23.3735840151039,-9.47747300484052,291.014395846444,1.77671589921807,248.3381843927,-2.17667866451533
270,-3.44731289561872,19.7156230333544,-10.5740350006206,300.159298300818,2.31537793223284,254.434786028949,-0.748262380538666
280,-3.44731289561872,25.8122246696036,-6.60621198957429,309.304200755192,2.7770882462455,263.579688483323,0.83405734144222
290,-3.10103016010923,22.763923851479,-7.80377311654462,318.449103209566,3.10413305200446,272.724590937697,1.93061933722229
300,-2.75474742459973,29.4701856513532,-3.76380786893385,327.59400566394,3.35422613876132,281.86949339207,2.75785031649497
310,-2.35075089983865,25.8122246696036,-5.14893881097183,336.738908118314,3.56584336601713,291.014395846444,3.39270199826238
320,-1.77361300732283,31.9088263058528,-1.8400148938811,345.883810572687,3.70050887427082,300.159298300818,3.91212610152662
330,-1.31190269331017,35.7192023285086,-0.156696040709946,355.028713027061,3.77746059327293,309.304200755192,4.23917090728559
340,-0.965619957800673,38.7675031466332,1.3294340325183,364.173615481435,3.85441231227504,318.449103209566,4.50850192379297
350,-0.503909643788013,44.1020295783513,3.16184684125605,373.318517935809,3.85441231227504,327.59400566394,4.72011915104877
360,-0.0421993297753538,50.1986312146005,4.57583467791982,382.463420390183,3.85441231227504,336.738908118314,4.81630879980141
370,0.304083405734142,59.3435336689743,5.66277770882462,391.608322844556,3.83517438252451,345.883810572687,4.89326051880352
380,0.592652351992056,68.4884361233481,5.43192255181829,400.75322529893,3.77746059327293,355.028713027061,4.89326051880352
390,0.93893508750155,76.8712633731908,4.05641057465558,409.898127753304,3.71974680402134,364.173615481435,4.87402258905299
400,1.28521782301104,80.6816393958465,2.66166066774233,419.043030207678,3.64279508501924,373.318517935809,4.81630879980141
410,1.51607298001737,83.7299402139711,1.46890902320963,428.187932662052,3.50812957676554,382.463420390183,4.7393570807993
420,1.7469281370237,86.7782410320958,0.179967729924286,437.332835116426,3.39270199826238,391.608322844556,4.60469157254561
430,1.97778329403003,89.0644666456892,-1.58511232468661,443.429436752675,3.27727441975921,400.75322529893,4.48926399404244
440,2.15092466178478,91.3506922592827,-2.9558148194117,480.00904657017,2.9887054735013,409.898127753304,4.3161226262877
450,2.32406602953953,92.874842668345,-4.45637333995284,489.153949024544,2.79632617599602,419.043030207678,4.08526746928137
460,2.43949360804269,92.1127674638138,-5.76936204542634,498.298851478918,2.60394687849075,428.187932662052,3.83517438252451
500,2.95891771130694,94.3989930774073,-7.34206280253196,507.443753933292,2.46928137023706,473.912444933921,2.87327789499813
510,3.0743452898101,95.9231434864696,-8.72719374456995,516.588656387665,2.33461586198336,483.057347388295,2.58470894874022
520,3.13205907906169,95.9231434864696,-9.99689710810476,525.733558842039,2.18071242397914,492.202249842668,2.31537793223284
530,3.18977286831326,95.1610682819384,-11.4108849447685,534.878461296413,2.06528484547598,501.347152297042,2.02680898597493
540,3.30520044681643,98.9714443045942,-12.6132555541765,544.023363750787,1.91138140747176,510.492054751416,1.77671589921807
