h00x,h00y,h10x,h10y,h20x,h20y,h30x,h30y,h40x,h40y,h50x,h50y,h60x,h60y,h70x,h70y,h80x,h80y,h90x,h90y,h100x,h100y
10.4024482190511,0.0269145671259042,10.5140521163253,0.00169735025248137,12.0366043261052,0.00111377772907839,14.5419590588819,0.00108675688504823,17.0208557862306,0.00112242600462776,18.4178602051324,0.00107854930493909,21.3829548825013,0.00120464618004047,21.8438176118127,0.0010899128510313,24.0685284978814,0.00113863769556928,25.2356261634335,0.00110391348165637,26.6645088326157,0.00112122059114892
11.9998443565826,0.0329432458170814,11.8244153084436,0.00209226223891105,13.3254398760005,0.00136471697338972,16.098728261452,0.00134010511428774,18.8433102120838,0.00137704518944565,20.5507165027127,0.00133097470152942,23.6729881068489,0.00146787902606582,24.0576963563422,0.00130901879804659,26.437761065609,0.00137762362112054,27.9386630013704,0.00133922443023979,29.5194170752514,0.00137715369679905
13.8189865205056,0.0397349760170469,13.0910133852459,0.00253452725515857,14.7524739528666,0.00166537034664688,17.822418631112,0.00164496630885118,20.6986197692143,0.00165534421879493,22.7515739552269,0.00162283274600835,26.0035313175535,0.00177076257310971,26.6336072967385,0.00160579766323621,29.2688476327024,0.00168394289697492,30.9294267275026,0.00165425917010075,32.4247575610979,0.00167355452698572
16.0395454342003,0.0480948843936459,14.6070258488282,0.00312607283718132,16.2048928709716,0.00200605769511915,19.5770814808088,0.00198147957223256,22.7358702338002,0.00200984832755368,25.1874820205313,0.00199451962655034,28.5631043176355,0.00214557072350812,29.4858656461912,0.00195874057449167,32.4018726816076,0.00208268676363001,33.9724958752561,0.00202957267260659,35.8958485010817,0.00206541614851534
18.9121065622409,0.0585629707922434,16.1718316444245,0.00377655710097823,17.8003061587267,0.00241643997339653,21.504189697228,0.00239736755079992,25.170182164265,0.00246758712609341,27.666992060821,0.00240960502622034,31.3752152356609,0.00258449339450648,32.3880574252979,0.00237682330533673,35.5919201960215,0.00250874516717251,37.3177941719462,0.0024322377722594,39.7397620463008,0.00252450960525804
22.4769736464742,0.0698051584340958,17.9034703839365,0.00462597750729076,19.5526066786762,0.0029193324688044,23.6213323564567,0.00288780068228925,27.8655489592222,0.0030156310565828,30.6293997700642,0.00295466782180001,34.4632058570183,0.00314074647615176,35.8554574520378,0.00292733301320541,39.0954803112067,0.00303529965248597,41.312234755808,0.00301195885054184,43.6524159703452,0.00303723494815854
26.715394009244,0.0816872911437345,19.9771979337698,0.0056698764967428,21.4774074401852,0.00352688341413109,25.9470360926324,0.00347346022050776,30.8483398361707,0.00373048992978097,33.90937075124,0.00361089095946623,38.1551948604342,0.00379269315269361,39.6944061994552,0.00359591164317736,42.9443271824707,0.00366160625457024,45.7356893350998,0.00369327661564561,48.3267259703444,0.00371750818266581
31.5078414956435,0.092012336691769,22.1171141032873,0.0068669420069146,23.5922486891963,0.00422971654782153,28.5009806433382,0.00421175954239164,33.8857591876836,0.00448046933932492,37.2474823246426,0.00436236419498769,42.2401845358029,0.00466526729983912,43.6029388785538,0.00431566684391551,47.1720828718518,0.00441714555349651,50.2379139896437,0.00446451589270374,52.534493078018,0.00436412571715254
37.4968962413723,0.102846014841088,24.4863531242112,0.0083062835292353,26.1187651226251,0.0051615423936345,31.5535089362244,0.00512295152428499,37.5139572328011,0.00549742757116205,40.9136231899682,0.0052934875705549,46.3973001052679,0.00567768721891363,47.895533151466,0.00520616562367411,51.8150678449489,0.00535996171792154,55.1834425676489,0.00539363954683452,59.6969511419621,0.00562351593804143
44.5976696344027,0.112254214156715,27.3224534555448,0.0101934980124763,29.1446082414757,0.00628926178899615,34.9321077507048,0.00627915078441653,41.5314470649152,0.00670431708146428,44.9421002969276,0.00635769274395584,50.9652333642718,0.00683918034142611,52.6104727090321,0.00628963620470249,57.3646530568026,0.00651751086061904,60.6155324165197,0.00652569757038843,65.8791105210208,0.00695927104020478
53.1214616278677,0.117835825318455,30.4880320710773,0.0123842144022125,32.2649021934416,0.00773621439517014,38.3722634314989,0.00750286928009001,45.620108435039,0.00808769221121411,49.365595797538,0.00771470835841853,55.9826261016386,0.00825038328383476,58.2435927810165,0.00771561350775776,63.0105674181415,0.00791992382599728,66.5804476622409,0.0079652026358209,72.0254460171279,0.00832909458350358
66.5130357799912,0.125012726021583,34.0206508797109,0.0150079323637073,35.7199879309121,0.00945638785550557,42.1494121962027,0.00908429317857946,50.1113827084655,0.00975078753399956,54.6518716179573,0.00943207750427166,61.495230607739,0.00988966983673662,64.4792088031023,0.00949470390038056,68.6722810611123,0.00949285304507558,73.1331763920083,0.0096880588822355,79.1142866873644,0.0101217416605814
79.0885263088421,0.128393693444338,38.2628467427149,0.0181713429872716,39.8557526406544,0.0117370633421652,46.663043459562,0.0110995605616061,55.0440901177649,0.0118042855739696,60.5043060214891,0.0115269145106169,67.5469265687528,0.0120594275939486,70.2687559540365,0.0115894251495226,75.4321710479244,0.0114852851241534,80.3334014119926,0.0116665344081152,86.9007107243929,0.0123050305724917
94.338473815423,0.13181203594702,43.3735855015246,0.0221085336603228,44.4721745129426,0.0143856513525286,52.0663558278478,0.013733269243079,60.9390205294387,0.0143897285413139,66.4626848554175,0.0137834609004301,74.195747110485,0.0146084099753808,78.4038289244795,0.014432885201539,82.8598397401954,0.0137740590889502,88.2434623360395,0.0140023850038111,94.7106804703083,0.0146696933032854
