s10x,s10y,s32x,s32y,s100x,s100y,s320x,s320y,s1000x,s1000y,s3200x,s3200y,s10000x,s10000y,s32000x,s32000y
0.105541596340857,0.135260387639699,0.106233435295548,4.35259883969919,0.103674556904088,5.65097273334428,0.105329509831435,6.00473060376166,0.104492766341404,5.99513963268668,0.104492766341404,5.99513963268668,0.104492484315529,6.00301509588638,0.105327330338504,6.06510915495939
0.114795376966412,-0.640554719097088,0.115991753042097,4.03019935434016,0.11319041940582,5.51942197285807,0.114994397543869,5.94615913559271,0.114079592719217,5.96938259451648,0.114076565064999,6.04682464931357,0.114077180852568,6.03107372291416,0.114987362701518,6.12466963478599
0.123872096749213,-1.5078406127153,0.126650203686382,3.62116977378439,0.123579698351526,5.38800247009185,0.125551317559504,5.76683056502829,0.124552194029675,5.79792948715177,0.124540428750755,6.0735706991414,0.12453841195739,6.12082347833962,0.125536069635154,6.12122640901496
0.133136062277883,-2.41383023620306,0.138289362807501,3.18457607202966,0.134923931697572,5.22704998032675,0.137071544935697,5.71219682845919,0.135982029257172,5.7157316293837,0.135967349415224,6.03075015737185,0.135962945771674,6.12525571576829,0.137052123597283,6.12565864644363
0.143097804157437,-3.42088830408703,0.151005293344453,2.61016176428011,0.147307940163326,5.09759934336046,0.149647623500703,5.68118948148919,0.148458346976605,5.68078655081386,0.148435509433314,6.12968795319696,0.148435509433314,6.12968795319696,0.149624603009436,6.1300908838723
0.153187933115298,-4.34031454634529,0.164893812089629,1.97668148253279,0.160832957086351,4.88939407439713,0.163377756128904,5.64624440291934,0.162077307762055,5.68285614928262,0.162055743055466,6.071116485028,0.162055014075635,6.08424225702751,0.163350859966082,6.12664765810126
0.163340719939466,-5.33333719570513,0.180066756456947,1.22900698438976,0.175600952646704,4.66150014743454,0.17836979142607,5.57585973995083,0.176940171947125,5.77470602822799,0.17692925203313,5.95479162006122,0.176927501089209,5.98366831846013,0.178340287686963,6.05854547898102
0.174164783836846,-6.29928794031599,0.196641168685747,0.402577854249701,0.19172859663788,4.37847797807403,0.194738592262854,5.48972415058291,0.193169592558833,5.81221521109542,0.193159356692386,5.9668368052496,0.193157253975436,5.99860117348841,0.194702687966614,6.02775505736893
0.185705089851921,-7.24899554207746,0.213896583927642,-0.565811078822691,0.209338010015066,4.08758034551382,0.212610974653745,5.38389990321573,0.21089304487099,5.77464497812567,0.210883918880841,5.90091490476092,0.210869898638396,6.09491381491362,0.212565960200022,6.00175278627352
0.198006759556788,-8.14997371529076,0.230814816556123,-1.50528871843819,0.228572788987587,3.69430169135745,0.232126123729545,5.24657380304973,0.230247504863746,5.67538361675825,0.229810961027357,5.84010994207927,0.230213949623084,6.10065862954224,0.23206892325065,5.96569477334685
